userId,sport,avg_hr,avg_speed,start_time,duration_min,start_lat,start_lon
10921915,bike,152.65,26.162157600000004,2014-08-24 16:45:46,126.48333333333333,60.173348765820265,24.64977040886879
10921915,bike,147.71,27.218368800000004,2014-08-16 20:41:22,74.0,60.173247596248984,24.649855233728886
10921915,bike,140.554,26.050773600000017,2014-08-12 15:47:39,112.48333333333333,60.17326201312244,24.64995657093823
10921915,bike,147.02,26.87783759999997,2014-08-07 17:20:42,75.31666666666666,60.173286236822605,24.649874344468117
10921915,bike (transport),167.154,,2014-08-01 16:10:34,22.616666666666667,60.17329327762127,24.64979832060635
10921915,bike (transport),148.12,,2014-07-29 20:20:32,33.666666666666664,60.183585081249475,24.81770033016801
10921915,bike (transport),166.084,29.592280800000022,2014-07-29 15:17:59,23.75,60.17327919602394,24.64981692843139
10921915,bike (transport),144.794,21.67317359999999,2014-07-28 20:50:17,33.21666666666667,60.18366169184446,24.817466977983713
10921915,bike,137.804,,2014-07-13 20:00:38,216.91666666666666,60.17331792041659,24.64967619627714
10921915,bike,145.914,27.497556000000028,2014-07-11 17:42:52,73.7,60.17324591986835,24.65018338523805
10921915,bike,148.77,,2014-07-07 23:04:19,59.46666666666667,60.17327668145299,24.649821035563946
10921915,bike (transport),146.814,,2014-07-04 16:46:09,99.45,60.17332605086267,24.649684326723218
10921915,bike,143.224,25.193404799999993,2014-07-03 19:23:17,112.83333333333333,60.173228066414595,24.64970293454826
10921915,bike,143.854,,2014-07-02 17:30:47,56.7,60.17336611635983,24.649790609255433
10921915,bike,155.236,27.228132000000024,2014-06-23 15:06:30,73.9,60.173290092498064,24.64966152794659
10921915,bike,142.762,24.542733599999988,2014-06-22 19:18:43,117.45,60.17328456044197,24.64972003363073
10921915,bike,137.846,,2014-06-20 17:26:01,77.6,60.17324265092611,24.649846516549587
10921915,bike,146.102,26.58132000000001,2014-06-18 18:13:22,117.93333333333334,60.17329721711576,24.649710645899177
10921915,bike,131.688,,2014-06-17 18:18:12,57.18333333333333,60.17330702394247,24.649715842679143
10921915,bike,140.456,,2014-06-16 18:28:21,61.516666666666666,60.17330593429506,24.649783736094832
10921915,bike,143.856,,2014-06-14 17:52:30,103.08333333333333,60.173167046159506,24.64982363395393
10921915,bike,155.79,29.74586399999997,2014-06-04 17:14:51,67.45,60.17335094511509,24.649986661970615
